"electrical_capacity","energy_source_level_1","energy_source_level_2","energy_source_level_3","technology","data_source","nuts_1_region","nuts_2_region","nuts_3_region","lon","lat","municipality","municipality_code","postcode","address","federal_state","commissioning_date","decommissioning_date","voltage_level","eeg_id","dso","dso_id","tso"
1.053,"Renewable energy","Bioenergy","Biomass and biogas","Biomass and biogas","TransnetBW","DE2","DE27","DE27D",10.63753985,48.8439812,"Alerheim",8115010,86733,NA,"Bayern","1905-06-27",NA,"medium voltage",NA,"Netzgesellschaft Ostwürttemberg DonauRies GmbH",10002974,"TransnetBW"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.01591182,47.87472388,"",9187117,83043,NA,"Brandenburg","1906-01-01",NA,"low voltage",NA,"Stadtwerke Bad Aibling",10001093,"TenneT"
0.175,"Renewable energy","Hydro","","Run-of-river","TenneT","DEF","DEF0","DEF0B",10.02769268,54.34292716,"Quarnbek",1058130,24107,NA,"Saarland","1906-01-01",NA,"medium voltage",NA,"SW Kiel Netz GmbH",10001113,"TenneT"
0.45,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",10.04106922,51.17928314,"Eschwege",6636003,37269,NA,"Hamburg","1906-01-01",NA,"low voltage",NA,"Stadtwerke Eschwege GmbH",10000668,"TenneT"
0.3,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.01591182,47.87472388,"Bad Aibling",9187117,83043,NA,"Brandenburg","1906-01-01",NA,"low voltage",NA,"Stadtwerke Bad Aibling",10001093,"TenneT"
0.45,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21M",12.67651744,47.80871639,"Siegsdorf",9189145,83313,NA,"Brandenburg","1906-01-01",NA,"low voltage",NA,"Elektrizitätsgenossenschaft Vogling & Angrenzer eG",10000782,"TenneT"
0.04,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.01591182,47.87472388,"Bad Aibling",9187117,83043,NA,"Brandenburg","1906-01-01",NA,"low voltage",NA,"Stadtwerke Bad Aibling",10001093,"TenneT"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",10.04106922,51.17928314,"",6636003,37269,NA,"Hamburg","1906-09-01",NA,"low voltage",NA,"Elektrizitätswerk Rohmund GmbH",10000052,"TenneT"
0.05,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",10.04106922,51.17928314,"Eschwege-Niederhone",6636003,37269,NA,"Hamburg","1906-09-01",NA,"low voltage",NA,"Elektrizitätswerk Rohmund GmbH",10000052,"TenneT"
0.266,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21F",11.69393941,47.7011094,"Bad Wiessee",9182111,83707,NA,"Brandenburg","1907-01-01",NA,"low voltage / medium voltage",NA,"Elektrizitätswerk Tegernsee Carl Miller KG",10000988,"TenneT"
0.022,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE142",8.948272741,48.46313452,"",8416036,72108,NA,"Baden-Württemberg","1907-01-01",NA,"medium voltage",NA,"Netze BW GmbH",10000843,"TransnetBW"
