"electrical_capacity","energy_source_level_1","energy_source_level_2","energy_source_level_3","technology","data_source","nuts_1_region","nuts_2_region","nuts_3_region","lon","lat","municipality","municipality_code","postcode","address","federal_state","commissioning_date","decommissioning_date","voltage_level","eeg_id","dso","dso_id","tso"
0.2675,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE225",13.45512011,48.73298669,"Fürsteneck",9272119,94142,NA,"Brandenburg","1923-03-23",NA,"medium voltage",NA,"Elektrizitäts-Versorgungs-Genossenschaft Perlesreut e.G.",10001598,"TenneT"
0.6,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA5","DEA59",7.887354509,51.11935882,"Attendorn",5966004,57439,NA,"Nordrhein-Westfalen","1923-04-10",NA,"medium voltage",NA,"BIGGE ENERGIE GmbH & Co. KG",10003897,"Amprion"
3.3,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA5","DEA58",7.834675443,51.44715895,"Menden",5962040,58708,NA,"Nordrhein-Westfalen","1923-05-01",NA,"medium voltage",NA,"Stadtwerke Fröndenberg GmbH",10000490,"Amprion"
0.022,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE134",8.174117429,48.47519608,"",8436018,77728,NA,"Baden-Württemberg","1923-07-01",NA,"low voltage",NA,"Syna GmbH",10001495,"TransnetBW"
0.011,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21A",12.0594816,48.19415649,"",9177123,84424,NA,"Brandenburg","1923-12-27",NA,"low voltage",NA,"KWH Netz GmbH",10000978,"TenneT"
0.4,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21G",12.35555798,48.19560772,"Aschau",9183113,84544,NA,"Brandenburg","1924-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.5,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE71","DE71E",9.07728712,50.35913788,"Ortenberg",6440019,63683,NA,"Hamburg","1924-01-01",NA,"medium voltage",NA,"ovag Netz GmbH",10001836,"TenneT"
0.011,"Renewable energy","Hydro","","Run-of-river","TenneT","DEA","DEA4","DEA47",8.683303786,51.82459377,"",5774024,33161,NA,"Nordrhein-Westfalen","1924-01-01",NA,"low voltage",NA,"Westfalen Weser Netz GmbH",10006808,"TenneT"
0.305,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE225",13.5985742,48.73273755,"Waldkirchen",9272151,94065,NA,"Brandenburg","1924-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
1.3,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA5","DEA58",7.741328423,51.24540075,"Werdohl",5962060,58791,NA,"Nordrhein-Westfalen","1924-01-01",NA,"medium voltage",NA,"Enervie Vernetzt GmbH",10007117,"Amprion"
1,"Renewable energy","Hydro","","Run-of-river","TenneT","DEA","DEA5","DEA57",8.849161414,51.44496732,"Marsberg",5958024,34431,NA,"Nordrhein-Westfalen","1924-01-01",NA,"medium voltage",NA,"Energie Waldeck-Frankenberg GmbH",10000523,"TenneT"
0.05,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE132",7.962248687,47.90916839,"Oberried",8315084,79254,NA,"Baden-Württemberg","1924-01-01",NA,"low voltage",NA,"bnNETZE GmbH",10003005,"TransnetBW"
0.11,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE228",13.68029684,48.57989069,"Untergriesbach",9275153,94107,NA,"Brandenburg","1924-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.06,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21C",11.22878963,48.17876881,"Fürstenfeldbruck",9179121,82256,NA,"Brandenburg","1924-01-02",NA,"low voltage",NA,"Stadtwerke Fürstenfeldbruck GmbH",10000514,"TenneT"
0.036,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21C",11.22878963,48.17876881,"Fürstenfeldbruck",9179121,82256,NA,"Brandenburg","1924-01-02",NA,"low voltage",NA,"Stadtwerke Fürstenfeldbruck GmbH",10000514,"TenneT"
0.018,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.19391784,48.0578138,"",9187182,83512,NA,"Brandenburg","1924-03-01",NA,"low voltage",NA,"Stadtwerke Wasserburg a. Inn",10000736,"TenneT"
0.25,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE228",13.55168484,48.60301401,"Thyrnau",9275150,94136,NA,"Brandenburg","1924-07-28",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.6,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE72","DE722",8.276875827,50.67411093,"Herborn",6532012,35745,NA,"Hamburg","1924-10-15",NA,"medium voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
0.8,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE12","DE125",8.680745091,49.40346963,"Heidelberg",8221000,69115,NA,"Baden-Württemberg","1925-01-01",NA,"medium voltage",NA,"Stadtwerke Heidelberg Netze GmbH",10003223,"TransnetBW"
0.35,"Renewable energy","Hydro","","Run-of-river","50Hertz","DED","DED4","DED43",12.94386732,51.18022644,"Leisnig",14522310,4703,NA,"Sachsen","1925-01-01",NA,"medium voltage",NA,"Mitteldeutsche Netzgesellschaft Strom mbH",10001645,"50Hertz"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",11.89776741,49.07524701,"",9375162,93164,NA,"Brandenburg","1925-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.46,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.13575641,47.62434921,"Kiefersfelden",9187148,83088,NA,"Brandenburg","1925-01-01",NA,"medium voltage",NA,"Gemeindewerke Oberaudorf",10001459,"TenneT"
0.75,"Renewable energy","Hydro","","Run-of-river","50Hertz","DED","DED4","DED43",12.94386732,51.18022644,"Leisnig",14522310,4703,NA,"Sachsen","1925-01-01",NA,"medium voltage",NA,"Mitteldeutsche Netzgesellschaft Strom mbH",10001645,"50Hertz"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",12.28705125,48.87270144,"",9375115,93089,NA,"Brandenburg","1925-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.57,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",11.92542061,49.12206086,"Duggendorf",9375131,93182,NA,"Brandenburg","1925-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.024,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE228",13.76802277,48.62233302,"",9275156,94110,NA,"Brandenburg","1925-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.026,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE233",12.13162955,49.66818345,"",9363000,92637,NA,"Brandenburg","1925-01-01",NA,"low voltage",NA,"Stromnetz Weiden i. d. OPf. GmbH & Co. KG",10007081,"TenneT"
0.1,"Renewable energy","Hydro","","Run-of-river","Amprion","DE7","DE72","DE723",8.069515036,50.38703972,"Limburg a.d. Lahn",6533009,65549,NA,"Hessen","1925-01-01",NA,"low voltage / medium voltage",NA,"Energieversorgung Limburg GmbH",10000557,"Amprion"
0.072,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE113",9.438571513,48.58482535,"Owen",8116054,73277,NA,"Baden-Württemberg","1925-01-01",NA,"low voltage",NA,"C. Ensinger GmbH & Co. KG",10001032,"TransnetBW"
0.0055,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE24","DE24B",11.30863206,49.98666735,"",9477164,96197,NA,"Brandenburg","1925-07-25",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.055,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE235",12.85499264,49.30860992,"Furth im Wald",9372126,93437,NA,"Brandenburg","1926-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.232,"Renewable energy","Hydro","","Run-of-river","50Hertz","DED","DED4","DED43",13.14387915,50.99049648,"Striegistal",14522540,9661,NA,"Sachsen","1926-01-01",NA,"low voltage / medium voltage",NA,"Mitteldeutsche Netzgesellschaft Strom mbH",10001645,"50Hertz"
0.011,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE224",12.99673361,48.68845974,"",9271141,94486,NA,"Brandenburg","1926-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
1.2,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA5","DEA58",7.741328423,51.24540075,"Werdohl",5962060,58791,NA,"Nordrhein-Westfalen","1926-01-01",NA,"medium voltage",NA,"Enervie Vernetzt GmbH",10007117,"Amprion"
0.26,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE72","DE722",8.167690681,50.62905936,"Driedorf",6532007,35759,NA,"Hamburg","1926-07-01",NA,"low voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
0.23,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE72","DE722",8.167690681,50.62905936,"Driedorf",6532007,35759,NA,"Hamburg","1926-07-01",NA,"low voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
0.0055,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE24","DE24B",11.30863206,49.98666735,"",9477164,96197,NA,"Brandenburg","1926-09-14",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.064,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE12","DE12A",8.442702668,48.79476445,"Bad Herrenalb",8235033,76332,NA,"Baden-Württemberg","1927-01-01",NA,"low voltage",NA,"Stadtwerke Bad Herrenalb GmbH",10001726,"TransnetBW"
0.167,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE217",11.43887823,48.25896952,"Dachau",9174115,85221,NA,"Brandenburg","1927-03-01",NA,"medium voltage",NA,"Stadtwerke Dachau",10000755,"TenneT"
0.42,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE139",7.830680182,47.64507875,"Schopfheim",8336081,79650,NA,"Baden-Württemberg","1927-08-26",NA,"low voltage / medium voltage",NA,"ED Netze GmbH",10001411,"TransnetBW"
1.5,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA5","DEA58",7.616881388,51.30921114,"Nachrodt-Wiblingwerde",5962044,58769,NA,"Nordrhein-Westfalen","1927-10-24",NA,"medium voltage",NA,"Stadtwerke Iserlohn GmbH",10001423,"Amprion"
0.904,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.08116072,47.73089207,"Brannenburg",9187120,83098,NA,"Brandenburg","1927-12-31",NA,"medium voltage",NA,"Wendelsteinbahn Verteilnetz GmbH",10001691,"TenneT"
